STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,LABOUR_FORCE_STATUS,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,SVN,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,5.4699568697642,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,CHE,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,6.3006395250605,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,CHE,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,6.32859045672629,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,CHE,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,6.463346935859,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,USA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,4.7244245720783,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,USA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,4.76616675655104,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,USA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,4.61106018016926,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,G7,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,3.48645751006019,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,G7,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,4.09528346904201,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,G7,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,4.0555470138959,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EU27,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,3.89985014918207,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EU27,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,4.97206713038208,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EU27,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,5.01043304885753,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EU19OECD,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,3.94040633641258,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EU19OECD,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,5.32592358116599,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EU19OECD,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,5.39177548572415,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EU22OECD,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,3.77209471437173,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EU22OECD,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,4.9312928170969,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EU22OECD,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,4.97787897784275,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,OECD,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,2.50103994272749,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,OECD,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,2.87925236229168,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,OECD,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,2.84729921234625,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,ARG,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,3.26691774551793,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,ARG,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,3.22468764076518,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,BGR,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,5.63243894761353,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,BGR,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,5.5488856719837,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,BGR,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,5.44099349368361,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,HRV,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,6.47799155683276,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,HRV,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,6.65341890012444,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,HRV,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,6.82611477493671,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,CYP,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,4.55740545523443,,A,,,,1,
